player,pitch,x,y,release_speed,release_spin
Brady Rodgers,2-Seam Fastball,-1.067970154,0.526218198,85.4,1660
Brady Rodgers,4-Seam Fastball,0.04903041,2.486033874,91.22711864,2429.644068
Brady Rodgers,Changeup,-0.623518212,1.305058599,84.39230769,1782
Brady Rodgers,Curveball,0.087487995,1.796276,78.16,2876.1
Brady Rodgers,Cutter,-1.044087441,2.193536114,93.8,2385
Brady Rodgers,Slider,0.482622199,1.626985093,80.07333333,2820.033333
Branden Kline,4-Seam Fastball,-0.012421194,2.432857206,96.24373464,2173.882064
Branden Kline,Changeup,-0.106355491,1.77459091,87.55666667,1536.083333
Branden Kline,Slider,0.542860389,1.736314581,86.60912863,2296.187234
Brandon Brennan,4-Seam Fastball,0.281666584,2.374306813,94.48181818,2296.454545
Brandon Brennan,Changeup,-0.181180968,1.539151106,84.64194631,1669.592593
Brandon Brennan,Sinker,-0.406372774,2.149502188,94.71325648,2228.412104
Brandon Brennan,Slider,0.795661441,1.836776816,87.09130435,2097.456522
Brandon Dixon,4-Seam Fastball,0.256605641,3.059060158,66.13125,1448.25
Brandon Dixon,Curveball,-0.478244142,3.265071494,59.95833333,1183.416667
Brandon Kintzler,4-Seam Fastball,0.173123136,2.909845438,93.053125,2020.5
Brandon Kintzler,Changeup,-0.086287386,1.721976696,87.52733333,2129.793333
Brandon Kintzler,Sinker,-0.178506442,2.311492353,92.59726962,2017.633106
Brandon Kintzler,Slider,1.027571952,1.889854697,86.70574713,2297.126437
